ticker,intervalo,tipo_padrao,data_inicio,data_fim,duracao_em_velas,intervalo_em_minutos,data_cabeca,preco_cabeca,data_ombro1,data_ombro2,label_humano,altura_rel_cabeca,ratio_ombro_esquerdo,ratio_ombro_direito,ratio_simetria_altura_ombros,neckline_slope,volume_breakout_ratio,dist_ombro1_cabeca,dist_cabeca_ombro2,ratio_simetria_temporal,dif_altura_ombros_rel,extensao_ombro1,extensao_ombro2,neckline_angle_rad,ruido_padrao,notas_revisao,previsao_modelo
DOT-USD,1d,OCOI,2021-06-20 00:00:00,2021-07-07 00:00:00,17,1440,2021-06-26 00:00:00,14.48,2021-06-22 00:00:00,2021-07-02 00:00:00,1,1.7577,0.5369,0.6037,0.8893,0.0216,1.0487,4.0,6.0,0.6667,0.0668,2.0,2.0,0.0216,0.0592,,0
SOL-USD,1d,OCOI,2024-06-05 00:00:00,2024-07-02 00:00:00,27,1440,2024-06-24 00:00:00,130.42,2024-06-15 00:00:00,2024-06-29 00:00:00,0,15.391,0.2809,0.2866,0.98,-0.3077,0.7516,9.0,5.0,0.5556,0.0057,1.0,1.0,-0.2985,0.0418,,1
ETH-USD,1h,OCOI,2025-01-10 11:00:00,2025-01-12 17:00:00,54,60,2025-01-11 08:00:00,3228.64,2025-01-10 16:00:00,2025-01-12 09:00:00,1,73.3249,0.74,0.8773,0.8434,-0.0281,44.3643,0.6667,1.0417,0.64,0.1374,0.0833,0.5,-0.0281,0.0049,,0
AVAX-USD,1h,OCO,2024-11-16 16:00:00,2024-11-18 14:00:00,46,60,2024-11-17 10:00:00,36.78,2024-11-17 00:00:00,2024-11-18 07:00:00,1,2.4032,0.4796,0.4261,0.8884,0.6465,0.0,0.4167,0.875,0.4762,-0.0535,0.0833,0.3333,0.5739,0.0138,,0
BCH-USD,1d,OCO,2024-03-30 00:00:00,2024-04-18 00:00:00,19,1440,2024-04-07 00:00:00,690.03,2024-04-01 00:00:00,2024-04-15 00:00:00,0,113.9464,0.241,0.2055,0.8529,-10.1993,0.471,6.0,8.0,0.75,-0.0355,2.0,1.0,-1.4731,0.0698,,1
XRP-USD,1h,OCOI,2024-12-22 10:00:00,2024-12-23 12:00:00,26,60,2024-12-23 02:00:00,2.16,2024-12-22 15:00:00,2024-12-23 07:00:00,0,0.0589,0.5603,0.6331,0.885,-0.0625,0.0,0.4583,0.2083,0.4545,0.0728,0.125,0.125,-0.0624,0.0105,,1
SHIB-USD,1h,OCO,2024-11-06 08:00:00,2024-11-08 17:00:00,57,60,2024-11-07 02:00:00,0.0,2024-11-06 12:00:00,2024-11-08 00:00:00,1,0.0,0.2991,0.6796,0.44,-0.0,1.0,0.125,0.2917,0.4286,0.3806,0.0417,0.0833,-0.0,0.0136,,0
XRP-USD,1h,OCOI,2024-12-15 17:00:00,2024-12-16 22:00:00,29,60,2024-12-16 12:00:00,2.35,2024-12-15 22:00:00,2024-12-16 19:00:00,0,0.1421,0.3737,0.3411,0.9128,0.093,2.5722,0.5833,0.2917,0.5,-0.0326,0.0833,0.0833,0.0927,0.0156,,1
LTC-USD,1h,OCOI,2024-11-10 18:00:00,2024-11-12 08:00:00,38,60,2024-11-11 06:00:00,75.21,2024-11-10 21:00:00,2024-11-12 05:00:00,0,2.7225,0.5886,0.6988,0.8423,2.4789,3.3923,0.375,0.9583,0.3913,0.1102,0.2083,0.2083,1.1874,0.008,,1
ADA-USD,1h,OCO,2023-11-10 19:00:00,2023-11-12 19:00:00,48,60,2023-11-11 17:00:00,0.39,2023-11-11 00:00:00,2023-11-12 08:00:00,1,0.0132,0.2826,0.9016,0.3135,-0.0034,1.0,0.2917,0.625,0.4667,0.6189,0.0833,0.2917,-0.0034,0.0111,,0
BNB-USD,1h,OCO,2025-02-08 15:00:00,2025-02-10 02:00:00,35,60,2025-02-09 08:00:00,642.44,2025-02-08 20:00:00,2025-02-10 00:00:00,0,24.4801,0.6626,0.0549,0.0829,16.3005,0.0,0.5,0.375,0.75,-0.6077,0.25,0.125,1.5095,0.0108,,1
SOL-USD,1h,OCOI,2025-01-10 10:00:00,2025-01-12 16:00:00,54,60,2025-01-11 10:00:00,185.02,2025-01-10 16:00:00,2025-01-12 09:00:00,1,5.8363,0.7818,0.8574,0.9118,-0.0046,10.7253,0.75,0.9583,0.7826,0.0756,0.0833,0.5,-0.0046,0.0075,,0
BTC-USD,4h,OCO,2024-12-11 12:00:00,2024-12-19 16:00:00,49,240,2024-12-17 08:00:00,106838.46,2024-12-11 20:00:00,2024-12-19 08:00:00,1,3900.9067,0.05,0.4717,0.1061,-1382.395,2.415,1.1667,2.0,0.5833,0.4217,0.1667,0.3333,-1.5701,0.0113,,0
XRP-USD,1h,OCOI,2025-03-21 18:00:00,2025-03-23 23:00:00,53,60,2025-03-22 23:00:00,2.37,2025-03-21 23:00:00,2025-03-23 18:00:00,1,0.0287,0.3797,0.7671,0.4949,0.0299,6.2657,0.3333,0.7917,0.4211,0.3874,0.125,0.1667,0.0299,0.0027,,0
ADA-USD,4h,OCO,2024-12-26 20:00:00,2024-12-31 04:00:00,26,240,2024-12-29 08:00:00,0.89,2024-12-27 12:00:00,2024-12-30 20:00:00,0,0.0279,0.4904,0.2487,0.5071,-0.0045,1.892,1.8333,0.8333,0.4545,-0.2417,0.8333,0.3333,-0.0045,0.0111,,1
BCH-USD,4h,OCOI,2024-01-28 00:00:00,2024-02-08 04:00:00,67,240,2024-02-01 04:00:00,233.17,2024-01-29 08:00:00,2024-02-07 04:00:00,1,8.4489,0.7504,0.3584,0.4776,-0.2744,7.3783,2.8333,2.5,0.8824,-0.392,1.0,0.5,-0.2679,0.0073,,0
SOL-USD,4h,OCOI,2025-01-19 16:00:00,2025-01-24 12:00:00,29,240,2025-01-21 04:00:00,236.74,2025-01-20 00:00:00,2025-01-23 08:00:00,1,24.3855,0.6142,0.599,0.9752,0.1044,0.8865,1.1667,2.1667,0.5385,-0.0152,0.3333,0.6667,0.104,0.0294,,0
