tipo_padrao,data_inicio,data_fim,preco_cabeca,data_cabeca,preco_ombro1,preco_ombro2
OCO,2025-06-14 04:00:00,2025-06-20 08:00:00,107447.98,2025-06-17 00:00:00,105417.13,105099.28
OCO,2025-06-04 04:00:00,2025-06-14 04:00:00,109682.65,2025-06-11 12:00:00,105864.49,105417.13
OCOI,2025-06-02 16:00:00,2025-06-13 16:00:00,102688.53,2025-06-06 08:00:00,104656.30,104989.90
OCO,2025-05-18 20:00:00,2025-05-25 00:00:00,111246.58,2025-05-22 16:00:00,104731.42,108615.67
OCOI,2025-04-07 12:00:00,2025-04-11 04:00:00,76384.77,2025-04-09 08:00:00,77211.38,79993.11
OCO,2025-03-30 12:00:00,2025-04-05 08:00:00,85447.32,2025-04-02 16:00:00,82905.94,83662.82
OCOI,2025-03-12 12:00:00,2025-03-17 00:00:00,81296.27,2025-03-14 04:00:00,82410.94,83028.32
OCOI,2025-03-04 12:00:00,2025-03-12 12:00:00,79504.95,2025-03-11 04:00:00,83967.66,82410.94
OCOI,2025-02-27 08:00:00,2025-03-04 12:00:00,81618.99,2025-02-28 16:00:00,85162.18,83967.66
OCO,2025-01-28 16:00:00,2025-02-04 04:00:00,105379.20,2025-01-30 16:00:00,102647.70,100384.40
OCOI,2025-01-25 20:00:00,2025-01-29 12:00:00,100021.53,2025-01-27 16:00:00,104731.60,102103.38
OCO,2025-01-01 00:00:00,2025-01-10 20:00:00,101937.08,2025-01-07 04:00:00,94086.63,94672.97
OCO,2024-12-14 12:00:00,2024-12-21 12:00:00,106701.16,2024-12-17 16:00:00,101721.40,98000.02
OCOI,2024-12-07 12:00:00,2024-12-13 08:00:00,96627.48,2024-12-11 04:00:00,99710.62,99990.41
OCO,2024-12-02 00:00:00,2024-12-07 08:00:00,101723.39,2024-12-05 16:00:00,97084.25,100055.69
OCOI,2024-12-01 00:00:00,2024-12-06 08:00:00,95567.82,2024-12-03 20:00:00,96583.45,98022.36
OCOI,2024-11-25 00:00:00,2024-11-28 16:00:00,92302.25,2024-11-27 00:00:00,97124.46,95318.95
OCO,2024-11-12 16:00:00,2024-11-15 08:00:00,90917.42,2024-11-14 04:00:00,88021.18,88454.40
OCO,2024-10-25 08:00:00,2024-11-04 12:00:00,72463.84,2024-10-30 04:00:00,67982.48,68752.00
OCO,2024-09-25 08:00:00,2024-10-07 16:00:00,65893.85,2024-09-28 04:00:00,64145.84,63425.07
OCOI,2024-09-15 00:00:00,2024-09-18 16:00:00,58159.64,2024-09-17 00:00:00,59924.65,60078.69
OCOI,2024-09-04 08:00:00,2024-09-11 12:00:00,53916.36,2024-09-07 04:00:00,57091.59,56926.81
OCO,2024-08-22 08:00:00,2024-08-29 20:00:00,64146.94,2024-08-24 20:00:00,61145.50,59829.53
OCOI,2024-08-13 08:00:00,2024-08-19 12:00:00,57897.51,2024-08-16 08:00:00,59083.17,58569.17
OCO,2024-08-13 00:00:00,2024-08-18 16:00:00,60946.37,2024-08-14 08:00:00,59477.64,59697.31
OCOI,2024-05-22 04:00:00,2024-05-27 08:00:00,67472.68,2024-05-24 08:00:00,69782.52,68639.69
OCO,2024-05-19 08:00:00,2024-05-22 12:00:00,70916.85,2024-05-21 08:00:00,67142.85,70028.00
OCOI,2024-05-09 12:00:00,2024-05-15 00:00:00,60781.13,2024-05-11 08:00:00,61445.47,61712.54
OCO,2024-04-30 04:00:00,2024-05-10 08:00:00,64155.82,2024-05-06 04:00:00,63293.06,62958.96
OCOI,2024-04-29 16:00:00,2024-05-09 12:00:00,57404.25,2024-05-02 04:00:00,62593.60,61445.47
OCO,2024-04-19 20:00:00,2024-04-26 08:00:00,66535.19,2024-04-24 08:00:00,64445.50,64399.15
OCOI,2024-04-16 16:00:00,2024-04-20 08:00:00,61216.57,2024-04-18 04:00:00,62882.76,63979.19
OCO,2024-04-05 04:00:00,2024-04-11 08:00:00,71736.37,2024-04-09 00:00:00,67881.23,70427.85
OCOI,2024-03-30 04:00:00,2024-04-05 20:00:00,65597.45,2024-04-03 00:00:00,69697.67,67354.55
OCOI,2024-03-17 08:00:00,2024-03-23 00:00:00,62725.72,2024-03-20 12:00:00,66243.60,63886.62
OCO,2024-03-12 04:00:00,2024-03-16 08:00:00,73149.48,2024-03-14 08:00:00,71983.06,69034.57
OCOI,2024-01-19 12:00:00,2024-01-29 08:00:00,39291.30,2024-01-24 00:00:00,41165.00,42084.65
OCO,2023-12-28 08:00:00,2024-01-05 04:00:00,45326.31,2024-01-02 16:00:00,43239.61,43933.89
OCOI,2023-12-16 04:00:00,2023-12-20 04:00:00,41174.13,2023-12-18 12:00:00,42072.96,42472.63
OCOI,2023-12-08 04:00:00,2023-12-16 04:00:00,41092.30,2023-12-13 08:00:00,43346.35,42072.96
OCO,2023-08-24 08:00:00,2023-09-04 08:00:00,27564.16,2023-08-30 04:00:00,26486.26,25961.74
OCO,2023-07-12 08:00:00,2023-07-20 08:00:00,31393.96,2023-07-14 08:00:00,30664.20,30084.97
OCO,2023-06-30 08:00:00,2023-07-12 08:00:00,31125.19,2023-07-04 08:00:00,30699.59,30664.20
