ticker,intervalo,estrategia_zigzag,padrao_tipo,score_total,valid_contexto_extremos,valid_contexto_tendencia,valid_divergencia_macd,valid_divergencia_obv,valid_divergencia_rsi,valid_divergencia_rsi_strong,valid_estocastico_cross,valid_estocastico_divergencia,valid_estrutura_picos_vales,valid_macd_signal_cross,valid_neckline_plana,valid_neckline_retest_p6,valid_perfil_volume_decrescente,valid_profundidade_vale_pico,valid_simetria_extremos,valid_volume_breakout_neckline,p0_idx,p0_preco,p1_idx,p1_preco,p2_idx,p2_preco,p3_idx,p3_preco,p4_idx,p4_preco,p5_idx,p5_preco,p6_idx,p6_preco,cabeca_idx,tipo_padrao,data_inicio,data_fim,data_cabeca,data_retest,label_humano
AAVE-USD,5m,scalping_aggressive,TB,106,True,True,True,True,False,False,False,True,True,False,True,True,True,True,True,False,2025-08-18 13:05:00,293.1567077636719,2025-08-18 14:10:00,287.87664794921875,2025-08-18 14:25:00,289.6327514648437,2025-08-18 14:50:00,287.2694396972656,2025-08-18 15:00:00,289.945068359375,2025-08-18 15:30:00,287.60308837890625,2025-08-18 16:00:00,290.4293212890625,,TB,2025-08-18 13:05:00,2025-08-18 16:00:00,,2025-08-18 16:00:00,0.0
ALGO-USD,5m,scalping_aggressive,TB,80,True,True,False,False,False,False,False,False,True,False,True,True,True,True,True,False,2025-08-18 13:35:00,0.2562098503112793,2025-08-18 14:10:00,0.2522543668746948,2025-08-18 14:25:00,0.2542757987976074,2025-08-18 14:45:00,0.2518560290336609,2025-08-18 15:00:00,0.2548873126506805,2025-08-18 15:30:00,0.2525874972343445,2025-08-18 16:00:00,0.2556460797786712,,TB,2025-08-18 13:35:00,2025-08-18 16:00:00,,2025-08-18 16:00:00,0.0
FLOW-USD,5m,scalping_aggressive,TB,91,True,True,True,False,False,False,False,True,True,False,True,True,True,True,True,False,2025-08-18 13:25:00,0.3847254514694214,2025-08-18 14:10:00,0.3796548843383789,2025-08-18 14:25:00,0.3811859488487243,2025-08-18 14:50:00,0.3790987730026245,2025-08-18 15:05:00,0.3819417059421539,2025-08-18 15:35:00,0.3795365989208221,2025-08-18 16:05:00,0.3830433189868927,,TB,2025-08-18 13:25:00,2025-08-18 16:05:00,,2025-08-18 16:05:00,0.0
HBAR-USD,5m,scalping_aggressive,TB,85,True,True,False,True,False,False,False,False,True,False,True,True,False,True,True,False,2025-08-18 13:35:00,0.24520243704319,2025-08-18 14:10:00,0.241648867726326,2025-08-18 14:25:00,0.2435833066701889,2025-08-18 14:50:00,0.2418293207883834,2025-08-18 15:00:00,0.2443443536758422,2025-08-18 15:35:00,0.2424065023660659,2025-08-18 16:05:00,0.2455524504184723,,TB,2025-08-18 13:35:00,2025-08-18 16:05:00,,2025-08-18 16:05:00,0.0
ICP-USD,5m,scalping_aggressive,TB,106,True,True,True,True,False,False,False,True,True,False,True,True,True,True,True,False,2025-08-18 13:25:00,5.352985858917236,2025-08-18 14:10:00,5.264202117919922,2025-08-18 14:25:00,5.303420543670654,2025-08-18 14:45:00,5.257175445556641,2025-08-18 15:00:00,5.303259372711182,2025-08-18 15:35:00,5.260472297668457,2025-08-18 16:05:00,5.308876991271973,,TB,2025-08-18 13:25:00,2025-08-18 16:05:00,,2025-08-18 16:05:00,0.0
MKR-USD,5m,scalping_aggressive,TB,80,True,True,False,False,False,False,False,False,True,False,True,True,True,True,True,False,2025-08-18 13:35:00,1757.09423828125,2025-08-18 14:10:00,1738.9378662109375,2025-08-18 14:25:00,1749.914306640625,2025-08-18 14:45:00,1740.1204833984375,2025-08-18 15:00:00,1749.47265625,2025-08-18 15:35:00,1736.6185302734375,2025-08-18 16:05:00,1750.989501953125,,TB,2025-08-18 13:35:00,2025-08-18 16:05:00,,2025-08-18 16:05:00,0.0
LTC-USD,5m,scalping_moderate,TB,85,True,True,False,True,False,False,False,False,True,False,True,True,False,True,True,False,2025-08-18 13:40:00,118.44722747802734,2025-08-18 14:00:00,117.52183532714844,2025-08-18 14:25:00,118.1791534423828,2025-08-18 14:50:00,117.37960052490234,2025-08-18 15:00:00,118.18772888183594,2025-08-18 15:35:00,117.56285858154295,2025-08-18 16:05:00,118.23915100097656,,TB,2025-08-18 13:40:00,2025-08-18 16:05:00,,2025-08-18 16:05:00,0.0
SNX-USD,15m,scalping_moderate,TB,95,True,True,False,True,False,False,False,False,True,False,True,True,True,True,True,False,2025-08-18 05:00:00,0.6850491762161255,2025-08-18 09:30:00,0.6697769165039062,2025-08-18 09:45:00,0.6788541078567505,2025-08-18 12:00:00,0.6678169369697571,2025-08-18 13:00:00,0.6811181306838989,2025-08-18 15:30:00,0.6674944758415222,2025-08-18 16:00:00,0.6716954112052917,,TB,2025-08-18 05:00:00,2025-08-18 16:00:00,,2025-08-18 16:00:00,0.0
BCH-USD,1wk,swing_long,TT,70,True,True,False,False,False,False,False,False,True,False,True,True,False,True,True,False,2023-06-05 00:00:00,95.77547454833984,2024-04-01 00:00:00,714.0624389648438,2024-08-05 00:00:00,277.6203308105469,2024-12-02 00:00:00,639.6852416992188,2025-04-07 00:00:00,250.7925720214844,2025-08-11 00:00:00,629.1561279296875,2025-08-18 00:00:00,561.7191162109375,,TT,2023-06-05 00:00:00,2025-08-18 00:00:00,,2025-08-18 00:00:00,0.0
