tipo_padrao,data_inicio,data_fim,data_ombro1,data_ombro2,preco_cabeca,data_cabeca,idx_inicio,idx_fim
OCO,2025-05-17 16:00:00,2025-05-27 00:00:00,2025-05-18 12:00:00,2025-05-26 08:00:00,0.21,2025-05-23 00:00:00,4111,4167
OCO,2025-02-06 20:00:00,2025-02-10 20:00:00,2025-02-07 16:00:00,2025-02-10 08:00:00,0.24,2025-02-09 04:00:00,3512,3536
OCOI,2025-02-05 08:00:00,2025-02-09 04:00:00,2025-02-06 00:00:00,2025-02-08 12:00:00,0.23,2025-02-06 20:00:00,3503,3526
OCO,2025-01-29 00:00:00,2025-02-03 04:00:00,2025-01-29 08:00:00,2025-01-31 12:00:00,0.32,2025-01-30 16:00:00,3459,3490
OCO,2024-12-11 04:00:00,2024-12-16 12:00:00,2024-12-12 04:00:00,2024-12-15 20:00:00,0.31,2024-12-13 20:00:00,3166,3198
OCOI,2024-08-12 12:00:00,2024-08-24 20:00:00,2024-08-13 08:00:00,2024-08-21 08:00:00,0.05,2024-08-16 12:00:00,2442,2516
OCO,2024-05-13 04:00:00,2024-06-02 20:00:00,2024-05-14 08:00:00,2024-05-21 00:00:00,0.12,2024-05-17 08:00:00,1894,2018
OCOI,2024-03-31 12:00:00,2024-04-08 20:00:00,2024-04-04 00:00:00,2024-04-08 04:00:00,0.10,2024-04-05 08:00:00,1638,1688
OCO,2024-02-27 20:00:00,2024-03-03 08:00:00,2024-02-28 12:00:00,2024-03-02 04:00:00,0.12,2024-02-29 08:00:00,1442,1469
OCO,2023-11-14 20:00:00,2023-11-18 08:00:00,2023-11-16 08:00:00,2023-11-18 00:00:00,0.06,2023-11-17 08:00:00,812,833
